,postcode,bedrooms,main_type,second_level_type,footprint_area_sqm,abshmin,absh2,abshmax,relh2,relhmax,internal_floor_area_sqm,chain_1_hash
0,SW11 1AE,1,FLA,BLK,95.2683,18.1,29.7,30.7,11.6,12.6,81.0,
1,SW11 1BA,5,HSE,TERR,67.7044,18.2,25.1,28.8,6.9,10.6,165.0,e2526af87b9967186a5e53b783957cf3
2,SW11 1BA,5,HSE,TERR,84.70275,18.4,25.3,29.0,6.9,10.6,184.0,e2526af87b9967186a5e53b783957cf3
3,SW11 1BA,5,HSE,TERR,89.63606,18.5,24.2,28.7,5.7,10.2,218.0,e2526af87b9967186a5e53b783957cf3
4,SW11 1BA,5,HSE,TERR,71.91312,18.7,25.3,28.8,6.6,10.1,172.0,e2526af87b9967186a5e53b783957cf3
5,SW11 1BA,5,HSE,TERR,75.51987,18.8,25.4,29.0,6.6,10.2,171.0,e2526af87b9967186a5e53b783957cf3
6,SW11 1BA,4,HSE,TERR,67.70507,19.1,26.8,29.2,7.7,10.1,149.0,e2526af87b9967186a5e53b783957cf3
7,SW11 1BA,4,HSE,TERR,84.07595,19.4,25.8,29.1,6.4,9.7,137.0,e2526af87b9967186a5e53b783957cf3
8,SW11 1BA,5,HSE,TERR,105.26764,19.7,27.8,30.4,8.1,10.7,308.0,e2526af87b9967186a5e53b783957cf3
9,SW11 1BA,5,HSE,TERR,98.28077,20.4,28.9,31.3,8.5,10.9,238.0,e2526af87b9967186a5e53b783957cf3
10,SW11 1BD,5,FLA,BLK,84.68179,11.1,19.3,22.7,8.2,11.6,183.0,b68c5e7cdfeb801b68b96e31af143951
11,SW11 1BD,5,HSE,TERR,71.37608,10.9,19.4,22.3,8.5,11.4,218.0,b68c5e7cdfeb801b68b96e31af143951
12,SW11 1BD,4,HSE,TERR,62.57501,10.1,18.6,21.0,8.5,10.9,166.0,90530a0223597c2b8b7d14a193f56ab1
13,SW11 1BD,4,FLA,CNV,77.23081,10.6,21.2,24.2,10.6,13.6,109.0,b68c5e7cdfeb801b68b96e31af143951
14,SW11 1BE,4,HSE,TERR,78.05706,10.8,20.3,23.1,9.5,12.3,136.0,96e764b3d35443e3d9a2d85ea5dcacf9
15,SW11 1BE,5,HSE,TERR,97.98419,12.5,23.2,25.8,10.7,13.3,248.0,01b78241118448885fb585c840786301
16,SW11 1BE,1,FLA,CNV,59.17372,10.3,19.4,22.1,9.1,11.8,76.0,96e764b3d35443e3d9a2d85ea5dcacf9
17,SW11 1BG,4,HSE,TERR,62.53625,12.6,20.5,24.4,7.9,11.8,134.0,6419ea1168a72bd0579dc6a0ad0f91eb
18,SW11 1BG,5,HSE,TERR,69.75025,13.4,22.8,25.4,9.4,12.0,192.0,6419ea1168a72bd0579dc6a0ad0f91eb
19,SW11 1BG,4,HSE,TERR,60.38,14.4,22.9,26.3,8.5,11.9,153.0,6419ea1168a72bd0579dc6a0ad0f91eb
